"","species","GRLFRLPL"
"119","Bromus_hordeaceus","GR-GL-FR-FL-PL-"
"120","Bryonia_dioica","GR-GL-FR+FL+PL-"
"121","Buddleja_davidii","GR-GL-FR+FL+PL-"
"122","Buglossoides_arvensis","GR+GL+FR-FL-PL-"
"123","Bunium_bulbocastanum","GR+GL-FR-FL-PL-"
"124","Bupleurum_fruticosum","GR+GL+FR-FL+PL-"
"125","Butomus_umbellatus","GR-GL-FR+FL-PL+"
"126","Buxus_sempervirens","GR-GL-FR+FL+PL-"
"127","Cakile_maritima","GR-GL-FR-FL-PL+"
"128","Calamagrostis_canescens","GR+GL+FR+FL-PL-"
"129","Calendula_officinalis","GR-GL-FR-FL-PL-"
"130","Callistephus_chinensis","GR+GL+FR-FL-PL-"
"131","Callitriche_brutia","GR-GL-FR-FL-PL-"
"132","Callitriche_platycarpa","GR-GL+FR+FL+PL-"
"133","Callitriche_stagnalis","GR-GL-FR+FL+PL-"
"134","Calluna_vulgaris","GR-GL-FR-FL-PL+"
"135","Caltha_palustris","GR-GL-FR-FL-PL+"
"136","Calystegia_pulchra","GR-GL+FR+FL-PL-"
"137","Calystegia_sepium","GR-GL-FR+FL+PL-"
"138","Calystegia_silvatica","GR-GL-FR+FL-PL-"
"139","Camelina_sativa","GR+GL+FR-FL+PL-"
"140","Campanula_glomerata","GR-GL-FR-FL-PL-"
"141","Campanula_latifolia","GR-GL-FR+FL+PL-"
"142","Campanula_persicifolia","GR-GL+FR-FL-PL-"
"143","Campanula_rotundifolia","GR-GL-FR-FL-PL-"
"144","Campanula_trachelium","GR-GL-FR-FL+PL-"
"145","Capsella_bursa-pastoris","GR-GL-FR-FL-PL+"
"146","Cardamine_amara","GR-GL-FR-FL-PL-"
"147","Cardamine_bulbifera","GR+GL+FR+FL+PL-"
"148","Cardamine_corymbosa","GR+GL+FR-FL-PL-"
"149","Cardamine_flexuosa","GR-GL-FR-FL+PL-"
"150","Cardamine_hirsuta","GR-GL-FR-FL-PL-"
"151","Cardamine_pratensis","GR-GL-FR-FL-PL+"
"152","Carduus_crispus","GR-GL-FR-FL-PL-"
"153","Carduus_nutans","GR-GL-FR-FL-PL-"
"154","Carduus_tenuiflorus","GR-GL-FR-FL+PL-"
"155","Carex_acuta","GR-GL+FR-FL-PL-"
"156","Carex_acutiformis","GR-GL-FR-FL-PL-"
"157","Carex_arenaria","GR-GL-FR-FL-PL+"
"158","Carex_atrata","GR+GL-FR-FL-PL-"
"159","Carex_bigelowii","GR-GL-FR-FL-PL-"
"160","Carex_canescens","GR-GL-FR-FL-PL-"
"161","Carex_caryophyllea","GR-GL-FR-FL-PL-"
"162","Carex_diandra","GR-GL-FR-FL-PL-"
"163","Carex_distans","GR-GL-FR-FL-PL+"
"164","Carex_disticha","GR-GL-FR-FL-PL-"
"165","Carex_divisa","GR+GL-FR-FL-PL+"
"166","Carex_echinata","GR-GL-FR-FL-PL-"
"167","Carex_ericetorum","GR+GL+FR-FL-PL-"
"168","Carex_extensa","GR-GL-FR-FL-PL+"
"169","Carex_flacca","GR-GL-FR-FL-PL+"
"170","Carex_hirta","GR-GL-FR-FL-PL-"
"171","Carex_humilis","GR+GL-FR-FL-PL-"
"172","Carex_lasiocarpa","GR-GL-FR-FL-PL-"
"173","Carex_leporina","GR-GL-FR-FL-PL-"
"174","Carex_limosa","GR-GL-FR-FL-PL-"
"175","Carex_nigra","GR-GL-FR-FL-PL+"
"176","Carex_norvegica","GR+GL+FR-FL-PL-"
"177","Carex_otrubae","GR-GL-FR-FL-PL+"
"178","Carex_pallescens","GR-GL-FR-FL-PL-"
"179","Carex_panicea","GR-GL-FR-FL-PL+"
"180","Carex_paniculata","GR-GL-FR-FL-PL-"
"181","Carex_pauciflora","GR-GL-FR-FL-PL-"
"182","Carex_pendula","GR-GL-FR-FL-PL-"
"183","Carex_pilulifera","GR-GL-FR-FL-PL-"
"184","Carex_pseudocyperus","GR-GL-FR-FL-PL-"
"185","Carex_pulicaris","GR-GL-FR-FL-PL-"
"186","Carex_riparia","GR-GL-FR-FL-PL-"
"187","Carex_rostrata","GR-GL-FR-FL-PL-"
"188","Carex_spicata","GR-GL-FR-FL-PL-"
"189","Carex_sylvatica","GR-GL-FR-FL-PL-"
"190","Carlina_vulgaris","GR-GL-FR-FL-PL-"
"191","Carpinus_betulus","GR-GL-FR+FL+PL-"
"192","Carthamus_tinctorius","GR+GL+FR+FL-PL-"
"193","Catabrosa_aquatica","GR-GL-FR-FL+PL-"
"194","Catapodium_rigidum","GR-GL-FR-FL-PL-"
"195","Cedrus_atlantica","GR-GL+FR+FL+PL+"
"196","Cedrus_deodara","GR-GL+FR+FL+PL+"
"197","Centaurea_calcitrapa","GR+GL-FR-FL-PL-"
"198","Centaurea_cyanus","GR-GL+FR-FL-PL-"
"199","Centaurea_nigra","GR-GL-FR-FL-PL-"
"200","Centaurea_scabiosa","GR-GL-FR-FL-PL-"
"201","Centaurium_erythraea","GR-GL-FR-FL-PL-"
"202","Centaurium_littorale","GR+GL-FR-FL-PL-"
"203","Centaurium_pulchellum","GR-GL-FR-FL+PL-"
"204","Centranthus_ruber","GR-GL-FR-FL-PL-"
"205","Cephalanthera_damasonium","GR+GL-FR-FL-PL-"
"206","Cerastium_alpinum","GR+GL-FR-FL-PL-"
"207","Cerastium_arvense","GR-GL-FR-FL-PL-"
"208","Cerastium_diffusum","GR-GL-FR-FL-PL+"
"209","Cerastium_fontanum","GR-GL-FR-FL-PL+"
"210","Cerastium_glomeratum","GR-GL-FR-FL-PL+"
"211","Cerastium_pumilum","GR+GL-FR-FL-PL-"
"212","Cerastium_semidecandrum","GR-GL-FR-FL-PL-"
"213","Cerastium_tomentosum","GR-GL-FR-FL-PL-"
"214","Ceratocapnos_claviculata","GR-GL-FR+FL+PL+"
"215","Ceratophyllum_demersum","GR-GL-FR+FL+PL+"
"216","Chaerophyllum_aureum","GR+GL+FR-FL-PL-"
"217","Chaerophyllum_temulum","GR-GL-FR-FL-PL-"
"218","Chelidonium_majus","GR-GL-FR-FL+PL+"
"219","Chenopodium_album","GR-GL-FR-FL-PL-"
"220","Chenopodium_ficifolium","GR-GL-FR-FL-PL-"
"221","Chenopodium_vulvaria","GR+GL+FR-FL-PL+"
"222","Cherleria_sedoides","GR+GL-FR-FL-PL-"
"223","Chrysosplenium_alternifolium","GR-GL-FR-FL+PL-"
"224","Chrysosplenium_oppositifolium","GR-GL-FR-FL-PL+"
"225","Cichorium_intybus","GR-GL-FR-FL-PL-"
"226","Cicuta_virosa","GR+GL-FR-FL-PL-"
"227","Circaea_lutetiana","GR-GL-FR-FL+PL-"
"228","Cirsium_acaule","GR-GL-FR-FL+PL-"
"229","Cirsium_arvense","GR-GL-FR-FL-PL-"
"230","Cirsium_dissectum","GR-GL-FR-FL-PL-"
"231","Cirsium_eriophorum","GR-GL-FR-FL-PL-"
"232","Cirsium_heterophyllum","GR-GL-FR-FL-PL-"
"233","Cirsium_palustre","GR-GL-FR-FL-PL-"
"234","Cirsium_tuberosum","GR+GL+FR-FL-PL-"
"235","Cirsium_vulgare","GR-GL-FR-FL-PL-"
"236","Cladium_mariscus","GR-GL-FR-FL+PL-"
"237","Claytonia_perfoliata","GR-GL-FR+FL+PL-"
"238","Claytonia_sibirica","GR-GL-FR-FL+PL-"
"239","Clematis_tangutica","GR+GL+FR+FL+PL+"
"240","Clematis_vitalba","GR-GL-FR+FL+PL+"
"241","Clinopodium_acinos","GR+GL-FR-FL+PL-"
"242","Clinopodium_nepeta","GR+GL-FR-FL-PL-"
"243","Clinopodium_vulgare","GR-GL-FR-FL-PL-"
"244","Cochlearia_danica","GR-GL-FR-FL-PL-"
"245","Cochlearia_pyrenaica","GR+GL-FR-FL-PL-"
"246","Colutea_arborescens","GR+GL+FR+FL+PL-"
"247","Comarum_palustre","GR-GL-FR-FL-PL+"
"248","Conium_maculatum","GR-GL-FR-FL-PL-"
"249","Conopodium_majus","GR-GL-FR-FL-PL-"
"250","Convallaria_majalis","GR-GL+FR-FL-PL+"
"251","Convolvulus_arvensis","GR-GL-FR-FL-PL-"
"252","Corispermum_intermedium","GR+GL+FR-FL-PL-"
"253","Cornus_alba","GR-GL+FR+FL-PL-"
"254","Cornus_mas","GR+GL+FR+FL+PL-"
"255","Cornus_sanguinea","GR-GL-FR+FL+PL-"
"256","Cornus_sericea","GR-GL+FR+FL-PL-"
"257","Cornus_suecica","GR+GL-FR-FL-PL+"
"258","Corydalis_solida","GR+GL+FR-FL+PL+"
"259","Corylus_avellana","GR-GL-FR+FL+PL-"
"260","Cosmos_bipinnatus","GR+GL+FR+FL-PL-"
"261","Cotinus_coggygria","GR+GL+FR+FL-PL-"
"262","Cotoneaster_franchetii","GR-GL+FR+FL+PL-"
"263","Cotoneaster_horizontalis","GR-GL-FR-FL-PL-"
"264","Cotula_alpina","GR+GL-FR-FL-PL+"
"265","Cotula_coronopifolia","GR+GL+FR-FL-PL-"
"266","Crambe_maritima","GR-GL-FR+FL-PL+"
"267","Crassula_helmsii","GR-GL+FR-FL+PL-"
"268","Crassula_tillaea","GR-GL-FR-FL-PL-"
"269","Crataegus_laevigata","GR-GL-FR+FL+PL-"
"270","Crataegus_monogyna","GR-GL-FR+FL+PL+"
"271","Crepis_capillaris","GR-GL-FR-FL+PL-"
"272","Crepis_paludosa","GR-GL-FR-FL-PL-"
"273","Crepis_vesicaria","GR-GL-FR-FL-PL-"
"274","Cruciata_laevipes","GR-GL-FR-FL-PL-"
"275","Cryptomeria_japonica","GR-GL+FR+FL+PL+"
"276","Cydonia_oblonga","GR+GL+FR+FL+PL-"
"277","Cymbalaria_muralis","GR-GL-FR-FL-PL-"
"278","Cynodon_dactylon","GR+GL+FR-FL-PL+"
"279","Cynoglossum_officinale","GR-GL-FR+FL-PL-"
"280","Cynosurus_cristatus","GR-GL-FR-FL-PL+"
"281","Cynosurus_echinatus","GR+GL+FR-FL-PL-"
"282","Cypripedium_calceolus","GR+GL+FR-FL-PL-"
"283","Cytisus_scoparius","GR-GL-FR+FL-PL-"
"284","Dactylis_glomerata","GR-GL-FR-FL-PL+"
"285","Dactylorhiza_fuchsii","GR-GL-FR-FL-PL+"
"286","Dactylorhiza_incarnata","GR-GL-FR-FL-PL+"
"287","Dactylorhiza_maculata","GR-GL-FR-FL-PL+"
"288","Dactylorhiza_praetermissa","GR-GL-FR-FL-PL+"
"289","Dactylorhiza_viridis","GR-GL-FR-FL-PL+"
"290","Danthonia_decumbens","GR-GL-FR-FL-PL+"
"291","Daphne_mezereum","GR+GL+FR+FL-PL-"
"292","Dasiphora_fruticosa","GR+GL+FR-FL-PL-"
"293","Daucus_carota","GR-GL-FR-FL-PL-"
"294","Deschampsia_cespitosa","GR-GL-FR-FL-PL-"
"295","Descurainia_sophia","GR-GL-FR-FL-PL-"
"296","Deutzia_scabra","GR+GL+FR+FL-PL-"
"297","Dianthus_gratianopolitanus","GR+GL-FR-FL-PL-"
"298","Digitalis_purpurea","GR-GL-FR-FL-PL-"
"299","Diplotaxis_tenuifolia","GR-GL-FR-FL-PL-"
"300","Dipsacus_pilosus","GR-GL+FR+FL-PL-"
"301","Dipsacus_sativus","GR+GL+FR+FL-PL+"
"302","Doronicum_pardalianches","GR-GL+FR-FL+PL-"
"303","Draba_aizoides","GR+GL-FR-FL-PL-"
"304","Drosera_anglica","GR-GL-FR-FL-PL+"
"305","Drosera_rotundifolia","GR-GL-FR-FL+PL+"
"306","Dryas_octopetala","GR+GL-FR-FL-PL-"
"307","Echinochloa_crus-galli","GR-GL-FR-FL-PL-"
"308","Echium_vulgare","GR-GL-FR-FL-PL-"
"309","Elaeagnus_pungens","GR+GL+FR+FL+PL-"
"310","Elatine_hydropiper","GR+GL-FR-FL+PL-"
"311","Eleocharis_palustris","GR-GL-FR-FL-PL+"
"312","Eleocharis_quinqueflora","GR-GL-FR-FL-PL-"
"313","Eleocharis_uniglumis","GR-GL-FR-FL-PL+"
"314","Elymus_athericus","GR-GL-FR+FL+PL+"
"315","Elymus_caninus","GR-GL-FR+FL-PL-"
"316","Elymus_repens","GR-GL-FR-FL-PL+"
"317","Empetrum_nigrum","GR-GL-FR-FL-PL+"
"318","Epilobium_alsinifolium","GR+GL-FR-FL-PL-"
"319","Epilobium_anagallidifolium","GR+GL-FR-FL-PL-"
"320","Epilobium_ciliatum","GR-GL-FR-FL-PL-"
"321","Epilobium_hirsutum","GR-GL-FR+FL-PL+"
"322","Epilobium_montanum","GR-GL-FR-FL-PL-"
"323","Epilobium_obscurum","GR-GL-FR-FL-PL+"
"324","Epilobium_palustre","GR-GL-FR-FL+PL+"
"325","Epilobium_parviflorum","GR-GL-FR-FL-PL+"
"326","Epilobium_roseum","GR-GL+FR-FL+PL-"
"327","Epilobium_tetragonum","GR-GL-FR-FL-PL-"
"328","Epipactis_atrorubens","GR+GL-FR-FL-PL-"
"329","Epipactis_palustris","GR-GL-FR-FL-PL+"
"330","Eranthis_hyemalis","GR-GL+FR-FL-PL-"
"331","Erica_carnea","GR+GL+FR-FL-PL-"
"332","Erica_cinerea","GR-GL-FR-FL-PL+"
"333","Erica_tetralix","GR-GL-FR-FL-PL+"
"334","Erigeron_acris","GR-GL-FR-FL-PL-"
"335","Erigeron_borealis","GR+GL-FR-FL-PL-"
"336","Erigeron_karvinskianus","GR-GL+FR-FL-PL-"
"337","Erigeron_speciosus","GR+GL+FR-FL-PL-"
"338","Erigeron_sumatrensis","GR-GL-FR-FL-PL-"
"339","Eriophorum_angustifolium","GR-GL-FR-FL-PL+"
"340","Eriophorum_latifolium","GR-GL-FR-FL-PL-"
"341","Eriophorum_vaginatum","GR-GL-FR-FL-PL-"
"342","Erodium_cicutarium","GR-GL-FR-FL-PL-"
"343","Erodium_lebelii","GR+GL-FR-FL-PL-"
"344","Erodium_moschatum","GR-GL+FR-FL-PL+"
"345","Eryngium_maritimum","GR-GL-FR-FL-PL+"
"346","Erythranthe_lutea","GR+GL+FR-FL+PL-"
"347","Erythranthe_moschata","GR+GL+FR-FL+PL-"
"348","Euonymus_europaeus","GR-GL-FR+FL+PL-"
"349","Euonymus_japonicus","GR-GL+FR+FL+PL-"
"350","Eupatorium_cannabinum","GR-GL-FR-FL-PL-"
"351","Euphorbia_amygdaloides","GR-GL-FR-FL-PL-"
"352","Euphorbia_characias","GR-GL+FR-FL-PL-"
"353","Euphorbia_exigua","GR-GL-FR-FL-PL-"
"354","Euphorbia_helioscopia","GR-GL-FR-FL-PL+"
"355","Euphorbia_mellifera","GR+GL-FR+FL+PL-"
"356","Euphorbia_peplus","GR-GL-FR-FL+PL-"
"357","Euphrasia_frigida","GR+GL+FR-FL-PL-"
"358","Euphrasia_nemorosa","GR-GL-FR-FL-PL-"
"359","Euphrasia_salisburgensis","GR+GL-FR-FL-PL-"
"360","Fallopia_convolvulus","GR-GL-FR-FL-PL-"
"361","Festuca_trachyphylla","GR+GL+FR-FL+PL-"
"362","Ficaria_verna","GR-GL-FR-FL-PL+"
"363","Filipendula_ulmaria","GR-GL-FR-FL-PL+"
"364","Filipendula_vulgaris","GR-GL-FR-FL-PL-"
"365","Foeniculum_vulgare","GR-GL-FR+FL+PL-"
"366","Fragaria_vesca","GR-GL-FR-FL-PL-"
"367","Frangula_alnus","GR-GL-FR+FL+PL-"
"368","Fraxinus_angustifolia","GR+GL+FR+FL+PL-"
"369","Fraxinus_excelsior","GR-GL-FR+FL+PL-"
"370","Fraxinus_ornus","GR+GL+FR+FL+PL-"
"371","Fritillaria_meleagris","GR-GL+FR-FL-PL+"
"372","Fumaria_muralis","GR-GL-FR-FL-PL+"
"373","Fumaria_officinalis","GR-GL-FR-FL-PL+"
"374","Fumaria_vaillantii","GR+GL+FR-FL+PL-"
"375","Gagea_lutea","GR+GL+FR-FL-PL+"
"376","Galanthus_nivalis","GR-GL-FR-FL-PL+"
"377","Galega_officinalis","GR-GL-FR+FL-PL-"
"378","Galeopsis_speciosa","GR-GL-FR+FL+PL-"
"379","Galeopsis_tetrahit","GR-GL-FR-FL+PL-"
"380","Galinsoga_parviflora","GR-GL-FR-FL+PL-"
"381","Galinsoga_quadriradiata","GR-GL+FR-FL-PL-"
"382","Galium_album","GR-GL-FR-FL-PL-"
"383","Galium_aparine","GR-GL-FR-FL+PL-"
"384","Galium_odoratum","GR-GL-FR-FL+PL-"
"385","Galium_palustre","GR-GL-FR-FL-PL-"
"386","Galium_parisiense","GR+GL+FR-FL-PL-"
"387","Galium_saxatile","GR-GL-FR-FL-PL-"
"388","Galium_sterneri","GR+GL-FR-FL-PL-"
"389","Galium_tricornutum","GR+GL+FR-FL-PL-"
"390","Galium_uliginosum","GR-GL-FR-FL-PL-"
"391","Galium_verum","GR-GL-FR-FL-PL-"
"392","Gastridium_ventricosum","GR+GL-FR-FL-PL-"
"393","Gaultheria_shallon","GR+GL+FR-FL-PL-"
"394","Genista_anglica","GR-GL-FR-FL-PL-"
"395","Genista_hispanica","GR+GL+FR-FL-PL-"
"396","Genista_tinctoria","GR-GL-FR-FL-PL-"
"397","Gentiana_pneumonanthe","GR+GL-FR-FL-PL-"
"398","Gentiana_verna","GR+GL-FR-FL-PL-"
"399","Gentianella_amarella","GR-GL-FR-FL-PL-"
"400","Gentianella_campestris","GR-GL-FR-FL-PL+"
"401","Gentianella_germanica","GR+GL-FR-FL+PL-"
"402","Geranium_columbinum","GR-GL-FR-FL-PL-"
"403","Geranium_dissectum","GR-GL-FR-FL-PL+"
"404","Geranium_lucidum","GR-GL-FR-FL-PL-"
"405","Geranium_molle","GR-GL-FR-FL-PL+"
"406","Geranium_nodosum","GR+GL+FR-FL-PL-"
"407","Geranium_pratense","GR-GL-FR-FL-PL-"
"408","Geranium_purpureum","GR+GL+FR-FL-PL-"
"409","Geranium_pusillum","GR-GL-FR-FL-PL-"
"410","Geranium_pyrenaicum","GR-GL-FR-FL-PL-"
"411","Geranium_robertianum","GR-GL-FR+FL+PL+"
"412","Geranium_rotundifolium","GR-GL-FR-FL-PL-"
"413","Geranium_sanguineum","GR-GL-FR-FL+PL-"
"414","Geranium_sylvaticum","GR-GL-FR-FL-PL-"
"415","Geum_rivale","GR-GL-FR-FL-PL-"
"416","Geum_urbanum","GR-GL-FR-FL-PL-"
"417","Ginkgo_biloba","GR+GL+FR+FL+PL+"
"418","Glebionis_segetum","GR-GL-FR-FL-PL-"
"419","Glechoma_hederacea","GR-GL-FR-FL-PL-"
"420","Glyceria_declinata","GR-GL-FR-FL-PL-"
"421","Glyceria_fluitans","GR-GL-FR+FL-PL-"
"422","Glyceria_maxima","GR-GL-FR-FL-PL-"
"423","Glyceria_notata","GR-GL-FR+FL+PL-"
"424","Gnaphalium_uliginosum","GR-GL-FR-FL-PL-"
"425","Griselinia_littoralis","GR+GL+FR+FL+PL-"
"426","Guizotia_abyssinica","GR+GL+FR-FL-PL-"
"427","Hedera_helix","GR-GL-FR+FL+PL-"
"428","Helianthemum_nummularium","GR-GL-FR-FL-PL-"
"429","Helianthemum_oelandicum","GR+GL-FR-FL-PL+"
"430","Helianthus_tuberosus","GR+GL+FR-FL-PL-"
"431","Helleborus_foetidus","GR-GL+FR+FL+PL-"
"432","Helleborus_viridis","GR-GL+FR-FL-PL-"
"433","Helminthotheca_echioides","GR-GL-FR-FL-PL-"
"434","Helosciadium_inundatum","GR-GL-FR-FL+PL-"
"435","Helosciadium_nodiflorum","GR-GL-FR+FL+PL-"
"436","Heracleum_mantegazzianum","GR-GL-FR+FL-PL-"
"437","Heracleum_sphondylium","GR-GL-FR-FL-PL-"
"438","Hesperis_matronalis","GR-GL-FR-FL-PL-"
"439","Hippocrepis_comosa","GR-GL-FR-FL-PL-"
"440","Hippophae_rhamnoides","GR-GL-FR+FL+PL-"
"441","Hippuris_vulgaris","GR-GL-FR-FL-PL-"
"442","Holcus_lanatus","GR-GL-FR-FL-PL+"
"443","Holcus_mollis","GR-GL-FR-FL-PL-"
"444","Honckenya_peploides","GR-GL-FR-FL-PL+"
"445","Hordelymus_europaeus","GR+GL+FR+FL+PL-"
"446","Hordeum_murinum","GR-GL-FR-FL-PL-"
"447","Hordeum_secalinum","GR-GL-FR-FL-PL-"
"448","Hordeum_vulgare","GR-GL+FR+FL-PL-"
"449","Hornungia_petraea","GR+GL-FR-FL-PL+"
"450","Hottonia_palustris","GR-GL-FR+FL+PL-"
"451","Humulus_lupulus","GR-GL-FR+FL+PL-"
"452","Hyacinthoides_hispanica","GR-GL-FR-FL-PL+"
"453","Hyacinthoides_non-scripta","GR-GL-FR-FL-PL+"
